study_id,effect_id,calculation_type,mean1,sd1,n1,mean2,sd2,n2,t_value,f_value,f_df1,f_df2,f_direction,r_value,n,events1,total1,events2,total2,reverse_sign,notes
Edinburgh,SMD-01,independent_means,55,47,155,75,64,156,,,,,,,,,,,,no,Hospital stay in days; specialized-care group vs routine-care group. Negative Hedges g favors specialized care.
Orpington-Mild,SMD-02,independent_means,27,7,31,29,4,32,,,,,,,,,,,,no,Hospital stay in days; specialized-care group vs routine-care group. Negative Hedges g favors specialized care.
Orpington-Moderate,SMD-03,independent_means,64,17,75,119,29,71,,,,,,,,,,,,no,Hospital stay in days; specialized-care group vs routine-care group. Negative Hedges g favors specialized care.
Orpington-Severe,SMD-04,independent_means,66,20,18,137,48,18,,,,,,,,,,,,no,Hospital stay in days; specialized-care group vs routine-care group. Negative Hedges g favors specialized care.
Montreal-Home,SMD-05,independent_means,14,8,8,18,11,13,,,,,,,,,,,,no,Hospital stay in days; specialized-care group vs routine-care group. Negative Hedges g favors specialized care.
Montreal-Transfer,SMD-06,independent_means,19,7,57,18,4,52,,,,,,,,,,,,no,Hospital stay in days; specialized-care group vs routine-care group. Negative Hedges g favors specialized care.
Newcastle,SMD-07,independent_means,52,45,34,41,34,33,,,,,,,,,,,,no,Hospital stay in days; specialized-care group vs routine-care group. Negative Hedges g favors specialized care.
Umea,SMD-08,independent_means,21,16,110,31,27,183,,,,,,,,,,,,no,Hospital stay in days; specialized-care group vs routine-care group. Negative Hedges g favors specialized care.
Uppsala,SMD-09,independent_means,30,27,60,23,20,52,,,,,,,,,,,,no,Hospital stay in days; specialized-care group vs routine-care group. Negative Hedges g favors specialized care.

